recipe_id,name,meal_type,cuisine,servings,prep_time_min,cook_time_min,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,diet_tags,med_attributes,ingredients,instructions,is_vegetarian,is_vegan,is_pescatarian,is_gluten_free,is_dairy_free,image_url
MD011,Fruit & Nuts Porridge with Bell Pepper,Breakfast,Spanish,1,10,5,425,15,52,22,12,193,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",bell pepper; tomato; spinach; grapes; orzo; hazelnuts; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD012,Shakshuka with Spinach,Breakfast,Levantine,1,25,5,323,12,31,17,6,224,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",spinach; avocado; cucumber; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908176997-4316829e5b74?q=80&w=800&auto=format&fit=crop
MD013,Frittata with Garlic,Breakfast,Levantine,1,15,15,374,17,31,20,6,320,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",garlic; arugula; avocado; halloumi; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1514514805297-163e5c9b90bb?q=80&w=800&auto=format&fit=crop
MD014,Zaatar Labneh Toast with Zucchini,Breakfast,Maghrebi,1,25,0,408,17,45,20,10,320,"vegetarian, gluten_free","olive_oil, vegetables, whole_grains, yogurt_cheese",zucchini; tomato; eggplant; whole-wheat pasta; parmesan; extra-virgin olive oil,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
MD015,Chickpea Scramble with Garlic,Breakfast,Spanish,1,30,5,365,18,40,17,9,242,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",garlic; kale; tomato; chickpeas; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604152135912-04a579b4b7c6?q=80&w=800&auto=format&fit=crop
MD016,Fruit & Nuts Porridge with Avocado,Breakfast,Levantine,1,10,5,425,15,52,22,12,250,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",avocado; tomato; mushroom; grapes; bulgur; hazelnuts; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD017,Fruit & Nuts Porridge with Eggplant — Italian,Breakfast,Italian,1,15,15,425,15,52,22,12,212,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",eggplant; bell pepper; mushroom; orange; brown rice; hazelnuts; extra-virgin olive oil; pita,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD018,Veggie Omelette with Eggplant,Breakfast,Levantine,1,15,20,374,17,31,20,6,355,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",eggplant; arugula; avocado; yogurt; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1544025162-d76694265947?q=80&w=800&auto=format&fit=crop
MD019,Fruit & Nuts Porridge with Pear,Breakfast,Italian,1,10,10,425,15,52,22,12,352,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, whole_grains",pear; bulgur; pine nuts; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD020,Shakshuka with Cucumber,Breakfast,Maghrebi,1,25,5,323,12,31,17,6,315,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",cucumber; zucchini; avocado; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908176997-4316829e5b74?q=80&w=800&auto=format&fit=crop
MD021,Frittata with Eggplant — Turkish,Breakfast,Turkish,1,25,15,374,17,31,20,6,342,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",eggplant; garlic; mushroom; yogurt; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1514514805297-163e5c9b90bb?q=80&w=800&auto=format&fit=crop
MD022,Fruit & Nuts Porridge with Grapes,Breakfast,Greek,1,20,20,425,15,52,22,12,299,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, whole_grains",grapes; whole-wheat pasta; walnuts; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD023,Chickpea Scramble with Kale,Breakfast,Spanish,1,20,0,365,18,40,17,9,256,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",kale; avocado; mushroom; white beans; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604152135912-04a579b4b7c6?q=80&w=800&auto=format&fit=crop
MD024,Fruit & Nuts Porridge with Cucumber,Breakfast,Spanish,1,20,0,425,15,52,22,12,226,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",cucumber; spinach; tomato; berries; oats; almonds; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD025,Zaatar Labneh Toast with Cucumber,Breakfast,Modern Med,1,30,10,408,17,45,20,10,422,"vegetarian, gluten_free","olive_oil, vegetables, whole_grains, yogurt_cheese",cucumber; spinach; onion; oats; halloumi; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
MD026,Avocado Toast with Spinach,Breakfast,Modern Med,1,10,0,399,15,45,22,12,322,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",spinach; arugula; garlic; couscous; walnuts; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800&auto=format&fit=crop
MD027,Shakshuka with Garlic,Breakfast,Turkish,1,15,10,323,12,31,17,6,222,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",garlic; zucchini; mushroom; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908176997-4316829e5b74?q=80&w=800&auto=format&fit=crop
MD028,Fruit & Nuts Porridge with Spinach,Breakfast,Greek,1,10,15,425,15,52,22,12,175,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",spinach; garlic; cucumber; apple; bulgur; pistachios; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD029,Chickpea Scramble with Cucumber,Breakfast,Modern Med,1,10,10,365,18,40,17,9,251,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables",cucumber; arugula; eggplant; fava beans; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604152135912-04a579b4b7c6?q=80&w=800&auto=format&fit=crop
MD030,Ricotta & Fig Toast with Spinach,Breakfast,Turkish,1,15,20,433,17,52,20,10,319,"vegetarian, gluten_free","fruits, olive_oil, vegetables, whole_grains, yogurt_cheese",spinach; zucchini; mushroom; pomegranate; barley; labneh; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1512058564366-18510be2db19?q=80&w=800&auto=format&fit=crop
MD031,Chicken Souvlaki (Light) with Garlic,Lunch,Levantine,1,15,5,380,12,35,19,6,372,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",garlic; cucumber; kale; extra-virgin olive oil; rye bread,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD032,Tuna & White Bean Bowl with Tomato,Lunch,Maghrebi,1,10,10,550,34,45,23,9,419,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",tomato; spinach; bell pepper; chickpeas; tuna; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD033,Greek Salad with Onion,Lunch,Turkish,1,20,15,490,20,35,29,8,354,"vegetarian, gluten_free","nuts_seeds, olive_oil, vegetables, yogurt_cheese",onion; eggplant; avocado; pine nuts; yogurt; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1568605114967-8130f3a36994?q=80&w=800&auto=format&fit=crop
MD034,Orzo Tomato Basil with Zucchini,Lunch,Italian,1,25,0,420,12,50,19,10,244,"vegetarian, vegan, gluten_free, dairy_free","olive_oil, vegetables, whole_grains",zucchini; arugula; onion; farro; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1525755662778-989d0524087e?q=80&w=800&auto=format&fit=crop
MD035,Sardine Toast with Garlic,Lunch,Maghrebi,1,10,10,540,28,50,23,10,401,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",garlic; mushroom; kale; brown rice; sardines; extra-virgin olive oil; rye bread,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD036,Tuna & White Bean Bowl with Mushroom,Lunch,Italian,1,20,0,550,34,45,23,9,358,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",mushroom; onion; tomato; white beans; tuna; extra-virgin olive oil; pita,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD037,Tuna & White Bean Bowl with Avocado,Lunch,Italian,1,25,15,550,34,45,23,9,427,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",avocado; arugula; garlic; lentils; sardines; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD038,Farro Veggie Bowl with Onion,Lunch,Spanish,1,10,10,520,21,60,25,15,339,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables, whole_grains",onion; avocado; garlic; white beans; whole-wheat pasta; hazelnuts; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD039,Orzo Tomato Basil with Garlic,Lunch,Italian,1,30,5,420,12,50,19,10,406,"vegetarian, vegan, gluten_free, dairy_free","olive_oil, vegetables, whole_grains",garlic; onion; zucchini; brown rice; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1525755662778-989d0524087e?q=80&w=800&auto=format&fit=crop
MD040,Tuna & White Bean Bowl with Kale,Lunch,Italian,1,25,10,550,34,45,23,9,405,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",kale; cucumber; spinach; white beans; shrimp; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD041,Chicken Souvlaki (Light) with Arugula,Lunch,Modern Med,1,15,10,440,17,35,23,6,476,"vegetarian, gluten_free","herbs_spices, olive_oil, vegetables, yogurt_cheese",arugula; eggplant; onion; feta; extra-virgin olive oil; sourdough,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD042,Tuna & White Bean Bowl with Cucumber,Lunch,Maghrebi,1,15,0,550,34,45,23,9,427,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",cucumber; zucchini; arugula; white beans; sardines; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD043,Sardine Toast with Cucumber,Lunch,Maghrebi,1,10,20,540,28,50,23,10,411,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",cucumber; onion; avocado; quinoa; shrimp; extra-virgin olive oil,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD044,Falafel Pita with Mushroom,Lunch,Greek,1,30,5,530,23,60,23,13,458,"vegetarian, gluten_free","herbs_spices, legumes, olive_oil, vegetables, whole_grains, yogurt_cheese",mushroom; cucumber; onion; lentils; farro; feta; extra-virgin olive oil; pita,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1645102585857-a57bc3f1e6a8?q=80&w=800&auto=format&fit=crop
MD045,Sardine Toast with Garlic — Maghrebi,Lunch,Maghrebi,1,10,5,540,28,50,23,10,315,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",garlic; cucumber; spinach; couscous; mackerel; extra-virgin olive oil,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD046,Chicken Souvlaki (Light) with Tomato,Lunch,Maghrebi,1,25,0,380,12,35,19,6,400,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",tomato; spinach; bell pepper; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD047,Tuna & White Bean Bowl with Arugula,Lunch,Italian,1,15,15,550,34,45,23,9,386,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",arugula; eggplant; spinach; lentils; cod; extra-virgin olive oil; rye bread,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD048,Sardine Toast with Cucumber — Maghrebi,Lunch,Maghrebi,1,20,20,540,28,50,23,10,369,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",cucumber; mushroom; arugula; whole-wheat pasta; cod; extra-virgin olive oil; rye bread,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD049,Chicken Souvlaki (Light) with Spinach,Lunch,Italian,1,15,10,380,12,35,19,6,364,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, olive_oil, vegetables",spinach; eggplant; avocado; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1604908554037-1a2f50a88a6f?q=80&w=800&auto=format&fit=crop
MD050,Farro Veggie Bowl with Avocado,Lunch,Spanish,1,20,0,470,15,50,25,12,394,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",avocado; eggplant; kale; brown rice; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD051,Farro Veggie Bowl with Zucchini,Lunch,Greek,1,30,15,470,15,50,25,12,357,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",zucchini; kale; cucumber; whole-wheat pasta; almonds; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with parsley and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD052,Lentil & Roasted Veg Salad with Tomato,Lunch,Levantine,1,25,10,480,21,45,25,11,262,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables",tomato; spinach; arugula; chickpeas; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with basil and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1528502499756-3976f6580a52?q=80&w=800&auto=format&fit=crop
MD053,Tuna & White Bean Bowl with Eggplant,Lunch,Spanish,1,10,20,550,34,45,23,9,323,"pescatarian, gluten_free, dairy_free","fish, legumes, olive_oil, vegetables",eggplant; bell pepper; kale; lentils; sardines; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD054,Farro Veggie Bowl with Garlic,Lunch,Levantine,1,20,15,500,15,58,25,12,309,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",garlic; bell pepper; arugula; grapes; bulgur; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD055,Farro Veggie Bowl with Arugula,Lunch,Turkish,1,30,20,470,15,50,25,12,303,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",arugula; spinach; bell pepper; brown rice; almonds; extra-virgin olive oil,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD056,Halloumi & Veg Skewers with Bell Pepper,Lunch,Italian,1,30,0,560,33,35,27,6,394,"pescatarian, gluten_free","fish, olive_oil, vegetables, yogurt_cheese",bell pepper; zucchini; eggplant; tuna; feta; extra-virgin olive oil; sourdough,Combine ingredients. Season with cumin and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,False,https://images.unsplash.com/photo-1460306855393-0410f61241c7?q=80&w=800&auto=format&fit=crop
MD057,Lentil & Roasted Veg Salad with Spinach,Lunch,Modern Med,1,30,0,480,21,45,25,11,276,"vegetarian, vegan, gluten_free, dairy_free","legumes, nuts_seeds, olive_oil, vegetables",spinach; avocado; arugula; fava beans; pistachios; extra-virgin olive oil,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1528502499756-3976f6580a52?q=80&w=800&auto=format&fit=crop
MD058,Sardine Toast with Kale,Lunch,Levantine,1,20,15,540,28,50,23,10,395,"pescatarian, gluten_free, dairy_free","fish, olive_oil, vegetables, whole_grains",kale; arugula; tomato; farro; cod; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,False,False,True,True,True,https://images.unsplash.com/photo-1569718212165-3a8278b3261b?q=80&w=800&auto=format&fit=crop
MD059,Falafel Pita with Zucchini,Lunch,Maghrebi,1,20,5,470,18,60,19,13,317,"vegetarian, vegan, gluten_free, dairy_free","herbs_spices, legumes, olive_oil, vegetables, whole_grains",zucchini; arugula; kale; fava beans; barley; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1645102585857-a57bc3f1e6a8?q=80&w=800&auto=format&fit=crop
MD060,Quinoa Greek Bowl with Eggplant,Lunch,Greek,1,20,15,470,15,50,25,12,353,"vegetarian, vegan, gluten_free, dairy_free","nuts_seeds, olive_oil, vegetables, whole_grains",eggplant; bell pepper; onion; barley; sesame seeds; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1526318472351-c75fcf070305?q=80&w=800&auto=format&fit=crop
MD061,Mujadara with Spinach,Dinner,Maghrebi,1,20,10,470,18,60,19,13,303,"vegetarian, vegan, gluten_free, dairy_free","legumes, olive_oil, vegetables, whole_grains",spinach; bell pepper; mushroom; chickpeas; couscous; extra-virgin olive oil; rye bread,Combine ingredients. Season with paprika and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1589301773859-3c415fa47d54?q=80&w=800&auto=format&fit=crop
